engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.10.0,cpu,fp32,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 03:50:26.867866,100,362.77,2.76,0.00,2.90,2.92,2.98
onnxruntime,1.10.0,cpu,fp32,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 03:50:27.149803,100,73.39,13.63,0.00,13.69,13.83,14.11
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
torchscript,1.9.0+cpu,cpu,fp32,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 03:50:32.062478,100,170.78,5.86,0.00,5.96,6.00,6.16
torchscript,1.9.0+cpu,cpu,fp32,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 03:50:34.446485,100,60.07,16.65,0.00,17.08,17.15,17.43
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.10.0,cpu,int8,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 03:50:45.708862,100,805.29,1.24,0.00,1.36,1.41,1.77
onnxruntime,1.10.0,cpu,int8,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 03:50:45.837148,100,133.75,7.48,0.00,7.62,7.70,7.75
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
torchscript,1.9.0+cpu,cpu,int8,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 03:50:50.498982,100,509.34,1.96,0.00,2.02,2.04,2.14
torchscript,1.9.0+cpu,cpu,int8,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 03:50:52.568732,100,104.32,9.59,0.00,9.79,9.84,9.94
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.10.0,cpu,fp32,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 04:34:05.479853,100,368.08,2.72,0.00,2.82,2.89,3.04
onnxruntime,1.10.0,cpu,fp32,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 04:34:05.757331,100,75.02,13.33,0.00,13.43,13.49,13.55
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
torchscript,1.11.0.dev20211003+cpu,cpu,fp32,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 04:34:10.839467,100,162.78,6.14,0.00,6.24,6.33,6.72
torchscript,1.11.0.dev20211003+cpu,cpu,fp32,,,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 04:34:13.508216,100,57.51,17.39,0.00,17.46,17.59,19.88
engine,version,device,precision,optimizer,io_binding,model_name,inputs,threads,batch_size,sequence_length,datetime,test_times,QPS,average_latency_ms,latency_variance,latency_90_percentile,latency_95_percentile,latency_99_percentile
onnxruntime,1.10.0,cpu,int8,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,16,2021-10-04 04:34:25.458148,100,803.30,1.24,0.00,1.27,1.32,1.44
onnxruntime,1.10.0,cpu,int8,True,True,philschmid/MiniLM-L6-H384-uncased-sst2,1,2,1,128,2021-10-04 04:34:25.586571,100,130.24,7.68,0.00,7.72,7.74,8.28
